drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
7/27/2013,1,15,27,31,42,0,294.5,13.5
7/26/2013,3,10,23,32,33,125000,236.5,9.5
7/25/2013,1,3,7,28,29,1145617,168,9
7/24/2013,13,15,28,32,35,0,277,12
7/23/2013,13,18,20,28,42,0,218.5,11.5
7/22/2013,7,11,24,35,38,0,201.5,10.5
7/21/2013,9,15,25,31,36,0,268.5,11.5
7/20/2013,2,12,21,29,33,0,178,9.5
7/19/2013,7,11,19,34,37,0,199,9
7/18/2013,7,9,19,20,26,125000,176.5,7.5
7/17/2013,17,19,25,31,40,450000,293,11.5
7/16/2013,1,14,24,27,39,0,237.5,11.5
7/15/2013,6,24,25,30,34,0,289,12
7/14/2013,10,11,23,30,41,0,250.5,11
7/13/2013,7,19,21,27,30,225000,175,7.5
7/12/2013,20,26,32,33,39,0,367.5,14
7/11/2013,1,27,29,35,40,225000,442.5,14.5
7/10/2013,1,24,32,34,38,0,358.5,14.5
7/9/2013,2,13,16,30,33,125000,259.5,10.5
7/8/2013,9,15,25,29,30,225000,186.5,9
7/7/2013,6,9,16,20,32,0,268,10
