drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2014-11-01,25,28,37,39,42,0,950,21
2014-11-02,6,7,23,28,42,0,621,16
2014-11-03,3,19,20,37,43,0,644,18
2014-11-04,1,2,5,23,31,445804,439,12
2014-11-05,1,2,18,19,29,0,405,12
2014-11-06,19,23,24,31,40,0,586,16
2014-11-07,8,10,26,29,31,0,361,13
2014-11-08,1,19,22,27,28,451673,395,12
2014-11-09,8,21,23,37,39,0,606,16
2014-11-10,11,19,20,26,41,0,682,16
2014-11-11,14,17,19,32,41,0,517,16
2014-11-12,7,17,20,23,25,0,394,12
2014-11-13,4,7,23,36,38,0,540,15
2014-11-14,4,9,13,25,36,971722,477,14
2014-11-15,12,16,22,28,34,0,452,14
2014-11-16,1,5,11,15,40,0,362,12
2014-11-17,7,17,27,34,41,0,525,15
2014-11-18,11,12,18,19,26,0,367,12
2014-11-19,4,12,16,24,27,0,375,12
2014-11-20,2,15,26,32,43,0,550,18
2014-11-21,5,25,28,34,38,0,486,15
2014-11-22,13,18,21,24,36,791281,462,14
2014-11-23,5,18,20,23,39,0,518,14
2014-11-24,3,14,22,29,33,88819,355,13
2014-11-25,2,13,29,34,43,0,733,20
2014-11-26,6,17,19,25,42,0,531,15
2014-11-27,9,20,25,26,31,0,558,14
2014-11-28,3,26,37,39,41,0,671,18
2014-11-29,5,8,12,36,43,611246,531,15
2014-11-30,3,19,27,41,43,0,612,18
2014-12-01,5,28,31,38,39,0,684,16
2014-12-02,14,16,17,26,42,0,720,17
2014-12-03,9,12,30,36,42,488895,671,17
2014-12-04,5,14,17,35,42,0,717,17
2014-12-05,5,11,14,35,42,0,406,16
2014-12-06,8,28,34,36,42,338008,608,18
2014-12-07,8,12,20,21,42,0,514,15
2014-12-08,16,23,26,32,34,0,592,17
2014-12-09,4,18,22,33,38,306508,503,15
2014-12-10,10,13,17,19,39,0,384,13
2014-12-11,4,9,12,20,40,92641,397,12
2014-12-12,3,18,25,33,38,0,533,15
2014-12-13,11,12,13,31,41,0,497,15
2014-12-14,7,10,24,34,39,295061,563,16
2014-12-15,8,14,31,38,39,0,596,18
2014-12-16,9,21,32,34,40,0,605,17
2014-12-17,1,11,23,35,38,0,537,16
2014-12-18,10,12,20,35,39,0,662,15
2014-12-19,18,24,25,26,27,351509,382,14
2014-12-20,6,17,21,27,33,0,371,13
2014-12-21,16,20,27,29,40,0,644,16
2014-12-22,22,25,37,41,42,0,848,20
2014-12-23,2,6,25,29,36,0,470,15
2014-12-24,4,6,9,17,36,0,534,13
2014-12-26,7,17,19,29,43,1015698,448,13
2014-12-27,3,7,11,32,40,76797,419,12
2014-12-28,12,20,28,36,38,0,561,16
2014-12-29,5,16,26,33,40,0,535,16
2014-12-30,8,10,19,24,30,157209,359,11
2014-12-31,3,14,20,38,39,92442,539,17
2015-01-01,19,23,25,32,42,65569,715,20
2015-01-02,15,19,26,33,38,85587,629,16
2015-01-03,10,12,15,21,31,36282,355,12
2015-01-04,3,14,16,20,32,0,643,14
2015-01-05,8,23,37,38,40,0,611,17
2015-01-06,21,22,31,34,37,0,572,18
2015-01-07,6,15,16,24,37,0,497,16
2015-01-08,10,19,24,27,36,0,436,13
2015-01-09,9,18,25,29,40,882518,485,14
2015-01-10,25,26,35,38,43,0,1011,20
2015-01-11,15,28,33,41,42,0,549,21
2015-01-12,2,4,17,20,30,0,353,12
2015-01-13,10,11,17,30,39,146337,542,14
2015-01-14,11,20,24,33,35,0,512,17
2015-01-15,8,19,29,38,40,179578,403,14
2015-01-16,10,12,24,27,31,0,350,11
2015-01-17,2,12,16,25,39,0,636,15
2015-01-18,7,8,21,34,37,0,595,15
2015-01-19,4,7,20,31,34,423523,614,14
2015-01-20,8,9,21,29,37,39067,406,14
2015-01-21,11,16,17,32,43,0,736,18
2015-01-22,1,6,20,29,38,0,524,15
2015-01-23,1,20,29,31,39,315470,508,16
2015-01-24,10,18,34,36,38,0,667,16
2015-01-25,3,15,20,31,38,0,693,15
2015-01-26,10,23,27,34,36,272306,582,15
2015-01-27,4,21,35,37,43,0,718,22
2015-01-28,23,25,27,31,41,0,728,18
2015-01-29,4,21,26,37,43,0,544,18
2015-01-30,15,22,23,36,43,0,591,17
2015-01-31,13,17,18,21,31,633216,399,13
2015-02-01,6,17,19,28,41,0,498,15
2015-02-02,4,5,7,13,34,0,563,12
2015-02-03,2,4,16,28,33,276773,444,13
2015-02-04,22,24,29,35,36,78869,567,17
2015-02-05,4,10,19,22,39,0,431,12
2015-02-06,2,9,15,22,37,0,489,14
2015-02-07,11,12,13,42,43,313486,702,17
2015-02-08,2,9,12,18,35,0,435,12
2015-02-09,3,7,9,15,34,0,441,11
2015-02-10,4,13,15,17,24,0,406,12
2015-02-11,11,15,28,35,43,232787,528,16
2015-02-12,5,6,7,18,34,0,502,13
2015-02-13,1,24,33,34,41,0,663,20
2015-02-14,16,22,24,25,43,0,520,17
2015-02-15,11,16,19,22,24,0,426,12
2015-02-16,1,15,17,20,40,0,598,15
2015-02-17,1,21,24,30,37,0,581,16
2015-02-18,7,12,17,22,32,385267,372,13
2015-02-19,4,13,14,37,38,81218,624,17
2015-02-20,10,12,18,33,43,82983,719,17
2015-02-21,2,8,17,23,37,72583,454,13
2015-02-22,3,6,14,15,24,65558,389,12
